id,name,body,lng,lat,etc
0,笠間稲荷神社,,140.2541036,36.3860257,0
1,蕎麦、狸庵 つたや,,140.2531579,36.3850937,0
2,かわすみラーメン店,,140.2515108,36.3847131,0
3,カフェ ナナイロ,,140.2522759,36.3838841,0
4,西洋割烹 かるにえ,,140.2547938,36.3841633,0
5,Hige Boss,,140.2546339,36.3843743,0
6,たちばな,,140.254588,36.38491,0
7,むぎとろ量深,,140.2546715,36.3862019,0
8,割烹旅館城山,,140.253944,36.387471,0
9,鍛冶屋,,140.2568283,36.3862343,0
10,笠間日動美術館,,140.2582756,36.3845443,0
11,zakka LE MIDI (ラ・ミディ),,140.2557409,36.3844605,0
12,アール ハナ,,140.256259,36.3848998,0
13,りとるくう,,140.2561757,36.3848658,0
14,門前酒場マルトミ,,140.2548677,36.3848202,0
15,ほんまや,,140.254972,36.384835,0
16,（有）松島製菓,,140.2526132,36.3847511,0
17,庭カフェＫＵＬＡ,,140.2535134,36.384798,0
18,コッコロ（coccolo）,,140.2511109,36.3827661,0
19,はらだ味の店,,140.251322,36.3828856,0
20,ふぐ膳,,140.25098,36.382899,0
21,洋食屋ＳＵＮ,,140.2507611,36.3805027,0
22,グリュイエール,,140.246339,36.373906,0
23,いなみ屋旅館,,140.2455057,36.3740026,0
24,笠間駅前レンタサイクル事務所,,140.246401,36.373292,0
25,笠間苑,,140.2464508,36.3776836,0
